# AM1.5G global tilt photon flux derived from ASTM G-173-03 reference spectrum.
# Source: pvlib.spectrum.get_reference_spectra() (NREL ASTM G-173 mirror).
# Column 1: wavelength [nm].  Column 2: photon flux [photons/m^2/s/m].
# Conversion: Phi(lam) = E(lam) [W/m^2/nm] * 1e9 [nm/m] * lam [m] / (h*c).
# Range: 280-1500 nm at native ASTM sampling.
# wavelength_nm,spectral_flux_m-2_s-1_m-1
5.560000e+02,4.300895e+27
5.570000e+02,4.202640e+27
5.580000e+02,4.300636e+27
5.590000e+02,4.075619e+27
5.600000e+02,4.155361e+27
5.610000e+02,4.404245e+27
5.620000e+02,4.200474e+27
5.630000e+02,4.366947e+27
5.640000e+02,4.288959e+27
5.650000e+02,4.323584e+27
5.660000e+02,4.095598e+27
5.670000e+02,4.372855e+27
5.680000e+02,4.340536e+27
5.690000e+02,4.241335e+27
5.700000e+02,4.251372e+27
5.710000e+02,4.119418e+27
5.720000e+02,4.357858e+27
5.730000e+02,4.383937e+27
5.740000e+02,4.368760e+27
5.750000e+02,4.277376e+27
5.760000e+02,4.249149e+27
5.770000e+02,4.363709e+27
5.780000e+02,4.236551e+27
5.790000e+02,4.305091e+27
5.800000e+02,4.385521e+27
5.810000e+02,4.413264e+27
5.820000e+02,4.488539e+27
5.830000e+02,4.542916e+27
5.840000e+02,4.541595e+27
5.850000e+02,4.512854e+27
5.860000e+02,4.411123e+27
5.870000e+02,4.515576e+27
5.880000e+02,4.420554e+27
5.890000e+02,3.823193e+27
5.900000e+02,4.071750e+27
5.910000e+02,4.362184e+27
5.920000e+02,4.277775e+27
5.930000e+02,4.346795e+27
5.940000e+02,4.333193e+27
5.950000e+02,4.285674e+27
5.960000e+02,4.423992e+27
5.970000e+02,4.444338e+27
5.980000e+02,4.397294e+27
5.990000e+02,4.404346e+27
6.000000e+02,4.456099e+27
6.010000e+02,4.410882e+27
6.020000e+02,4.351853e+27
6.030000e+02,4.451363e+27
6.040000e+02,4.536889e+27
6.050000e+02,4.536482e+27
6.060000e+02,4.521710e+27
6.070000e+02,4.556367e+27
6.080000e+02,4.548876e+27
6.090000e+02,4.521714e+27
6.100000e+02,4.509793e+27
